news_summary,dart_summary,corp_name,score,entity_match
"트럼프 2기 행정부에서 미국이 자랑하는 ‘자유방임’ 시장 질서에 중대 변화가 감지되고 있는 것은 정부가 개입해 수출과 생산은 물론 제품 원료까지 통제하는 ‘국가 자본주의의 출현이다. 바이든 행정부는 역내 투자 기업에 보조금과 정부 대출을 지원하는 ‘칩스법’을 제정해 대만 TSMC, 삼성전자 등 외국 반도체 기업을 국내로 유인하는 전략을 취했습니다.","본사를 거점으로 한국과 DX 부문 산하 해외 개 지역총괄의 생산,판매법인, SDC 및 Harman 산하 종속기업 등 개의 종속을기업으로 구성된 글로벌 전자 기업이다.",삼성전자,0.3386361,1
"17일 자본시장법상 부정거래행위·시세조종, 업무상 배임 등 혐의로 기소된 이재용 삼성전자 회장에게 전부 무죄를 선고한 원심 판결을 확정하여 재계는 이 회장이 삼성그룹의 첨단기술 혁신에 집중적인 투자와 거래처 확보, 공급망 재구축 작업이 재개될 것으로 내다봤다.","본사를 거점으로 한국과 DX 부문 산하 해외 개 지역총괄의 생산,판매법인, SDC 및 Harman 산하 종속기업 등 개의 종속을기업으로 구성된 글로벌 전자 기업이다.",삼성전자,0.37179935,1
"한국전력공사(이하 한전)가 태양광, 풍력 등 재생에너지 확대와 전력망 디지털 전환에 대응하기 위한 차세대 배전망 관리시스템 ADMS(Advanced Distribution Management System)의 전국 구축을 완료했다.","현재 국내 전력 산업의 체계는 전력생산, 수송, 판매 체계로 이뤄지고 있으며, 당사는발전자회사와 민간발전회사, 구역전기사업자가 생산한 전력을 전력거래소에서 구입하여 일반 고객에게 판매하고 있다. 연결실체는 환위험관리위원회 등을 구성하여 통화선도 및 이자율 선도 등의 파생금융상품을 이용하고 있고, (연구개발) 당사가 연구개발조직을 구성해 미래에너지 시장을 선도하기 위해 많은 노력을 기울이고 있다.",한국전력공사,0.59396005,1
"'RE100(재생에너지 100%) 산업단지' 조성을 위해 정부는 파격적인 전기료 인하와 청년층이 선호하는 교육과 정주 여건 조성 등 인센티브를 마련하기로 했다. 산업 전문가들은 산업·에너지 정책을 총괄하는 산업통상자원부를 중심으로 국무조정실과 기획재정부, 국토교통, 산업통상자원부, 환경, 환경부, 농림축산식품부, 해양수산부, 문화체육관광부 등 관계 부처가 참여한다. 국내에는 삼성전자, SK하이닉스, 현대차 등 36곳이 참여하고 있는 36개의 국내에 삼성전자는, 36곳을 참여하고 있다.","본사를 거점으로 한국과 DX 부문 산하 해외 개 지역총괄의 생산,판매법인, SDC 및 Harman 산하 종속기업 등 개의 종속을기업으로 구성된 글로벌 전자 기업이다.",삼성전자,0.37913376,1
"'RE100(재생에너지 100%) 산업단지' 조성을 위해 정부는 파격적인 전기료 인하와 청년층이 선호하는 교육과 정주 여건 조성 등 인센티브를 마련하기로 했다. 산업 전문가들은 산업·에너지 정책을 총괄하는 산업통상자원부를 중심으로 국무조정실과 기획재정부, 국토교통, 산업통상자원부, 환경, 환경부, 농림축산식품부, 해양수산부, 문화체육관광부 등 관계 부처가 참여한다. 국내에는 삼성전자, SK하이닉스, 현대차 등 36곳이 참여하고 있는 36개의 국내에 삼성전자는, 36곳을 참여하고 있다.","경기도 이천시에 위치한 본사를 거점으로 개의 생산기지와개의 생산 기지와 개의 연구개발법인 및 미국, 미국, 중국, 일본,, 대만, 홍콩 등 판매법인과 사무소를 운영하고 있는 글로벌 반도체 기업입니다.",SK하이닉스,0.34302366,1
컴포즈즈커피가 삼성전자 출신의 김홍석을 새로운 대표이사로 선임하며 해외 매장 확장을 본격화할 계획을 발표했다.,"본사를 거점으로 한국과 DX 부문 산하 해외 개 지역총괄의 생산,판매법인, SDC 및 Harman 산하 종속기업 등 개의 종속을기업으로 구성된 글로벌 전자 기업이다.",삼성전자,0.44774872,1
롯데하이마트가 오는 21일까지 전국 310여개 매장과 온라인쇼핑몰에서 삼성전자 스마트폰 신제품 ‘갤럭시 Z7 시리즈(폴드7·플립7)’과 스마트워치 '갤럭시 워치8 시리즈' 사전 판매를 시작한다고 밝혔다.,"본사를 거점으로 한국과 DX 부문 산하 해외 개 지역총괄의 생산,판매법인, SDC 및 Harman 산하 종속기업 등 개의 종속을기업으로 구성된 글로벌 전자 기업이다.",삼성전자,0.48067382,1
삼성전자 ESG&스마트공장지원센터 위원은 2018년부터 스마트공장 지원 활동에 참여해 지금까지 50여 개 중소기업 현장을 누볐다.,"본사를 거점으로 한국과 DX 부문 산하 해외 개 지역총괄의 생산,판매법인, SDC 및 Harman 산하 종속기업 등 개의 종속을기업으로 구성된 글로벌 전자 기업이다.",삼성전자,0.44181788,1
"에코로는 지주사의 기존 디지털전환실을 확대 개편해 AI혁신실을 신설했다고 15일 밝혔으며 에코프로 그룹의 인공지능(AI) 전환 컨트롤 타워로, 가족사 AI 시스템 도입·확산을 통해 제조·연구개발(R&D·사무 분야 전반에 걸쳐 AI 혁신을 추진할 계획이다.","리사이클 부터 최종 제품 생산까지의 Value chain을 통합한 산업 생태계인 Closed Loop Eco-System을 구축하였으며, 독자적인 생태계에서 원가 경쟁력과 지속적인 투자를 통해 확보한 생산능력을 바탕으로 차별화된 시장 지위를 확고히 하고 있습니다.",에코프로,0.53974116,1
전 삼성전자 연구원이 동종업체로 이직한 동료에게 영업기밀을 누설한 혐의로 징역 6개월에 집행유예 2년을 선고받았다.,"본사를 거점으로 한국과 DX 부문 산하 해외 개 지역총괄의 생산,판매법인, SDC 및 Harman 산하 종속기업 등 개의 종속을기업으로 구성된 글로벌 전자 기업이다.",삼성전자,0.33488655,1
